Month,Open,High,Low,Last,Change,Settle,Est. Volume,Prior day OI
JAN 26,4.17100,4.21800,3.99300,4.03600A,-.10100,4.01200,"169,239","101,151"
FEB 26,3.87300,3.92000,3.71500,3.77500A,-.06200,3.74700,"105,060","134,419"
MAR 26,3.43800,3.47900,3.30300,3.35300B,-.06500,3.33400,"95,829","265,903"
APR 26,3.41000,3.44100,3.28100,3.32300B,-.07200,3.30700,"74,462","156,759"
MAY 26,3.46800,3.48300,3.32900,3.37700,-.06100,3.36500,"28,903","128,718"
JUN 26,3.63700,3.65500,3.50700,3.56100,-.05800,3.54800,"21,428","44,017"
JUL 26,3.84900,3.85100,3.71100,3.76500A,-.05500,3.75200,"15,581","55,599"
AUG 26,3.88400,3.90000,3.76400,3.81900,-.05300,3.80600,"7,515","39,579"
SEP 26,3.85400,3.86600,3.72800,3.78600A,-.05200,3.77300,"9,350","41,887"
OCT 26,3.89100,3.90900,3.77100,3.83000,-.05100,3.81700,"25,206","104,435"
NOV 26,4.12400,4.12400,3.99100,4.05100A,-.04500,4.03700,"5,531","36,668"
DEC 26,4.53400,4.53800,4.42300,4.48600A,-.03300,4.47100,"7,638","52,298"
